Input image,Inclusive mask,Exclusive mask,LI (overall),LI (SD),LI (min),LI (max),LI_T25 (overall),LI_T25 (SD),wm_LI,wm_lowCI,wm_highCI,Variance Weighting,Clustering,Source path,Lower threshold,Bootstrap sample (percent),Sample size: Minimum,Sample size: Maximum
"BAN01__WG_tstat1.nii,1",LI-frontal-mask,none,0.45,0.3,0.088,0.94,0.4,0.17,0.52,0.15,0.93,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,33.3333,5,10000
"BAN02__WG_tstat1.nii,1",LI-frontal-mask,none,-0.39,0.2,-0.67,-0.11,-0.39,0.14,-0.41,-0.67,-0.17,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,27.7778,5,10000
"BAN03__WG_tstat1.nii,1",LI-frontal-mask,none,0.7,0.2,0.34,0.97,0.73,0.11,0.68,0.5,0.96,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,83.3333,5,10000
"BAN04__WG_tstat1.nii,1",LI-frontal-mask,none,0.49,0.24,0.15,0.91,0.46,0.11,0.53,0.24,0.91,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,45.4545,5,10000
"BAN05__WG_tstat1.nii,1",LI-frontal-mask,none,0.12,0.16,-0.043,0.46,0.061,0.068,0.17,-0.03,0.42,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,83.3333,5,10000
"BAN06__WG_tstat1.nii,1",LI-frontal-mask,none,0.3,0.18,0.076,0.65,0.27,0.11,0.34,0.11,0.62,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"BAN07__WG_tstat1.nii,1",LI-frontal-mask,none,0.38,0.2,0.13,0.81,0.35,0.09,0.42,0.17,0.8,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"BAN08__WG_tstat1.nii,1",LI-frontal-mask,none,0.41,0.23,0.12,0.86,0.36,0.094,0.45,0.2,0.85,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,62.5,5,10000
"BAN09__WG_tstat1.nii,1",LI-frontal-mask,none,0.56,0.21,0.28,0.92,0.54,0.12,0.55,0.31,0.91,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"BAN10__WG_tstat1.nii,1",LI-frontal-mask,none,0.28,0.071,0.12,0.44,0.28,0.029,0.26,0.21,0.4,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,27.7778,5,10000
"BAN11__WG_tstat1.nii,1",LI-frontal-mask,none,0.62,0.23,0.23,0.93,0.64,0.12,0.65,0.31,0.93,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,83.3333,5,10000
"BAN12__WG_tstat1.nii,1",LI-frontal-mask,none,0.51,0.22,0.18,0.8,0.53,0.14,0.53,0.26,0.79,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,100,5,10000
"BAN13__WG_tstat1.nii,1",LI-frontal-mask,none,0.54,0.24,0.21,0.93,0.51,0.14,0.55,0.24,0.92,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,55.5556,5,10000
"BAN14__WG_tstat1.nii,1",LI-frontal-mask,none,0.39,0.24,0.096,0.85,0.35,0.13,0.45,0.13,0.84,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"BAN15__WG_tstat1.nii,1",LI-frontal-mask,none,0.66,0.18,0.4,0.95,0.65,0.11,0.64,0.48,0.94,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"BAN16__WG_tstat1.nii,1",LI-frontal-mask,none,0.064,0.17,-0.13,0.54,0.029,0.044,0.086,-0.11,0.52,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,100,5,10000
"BAN17__WG_tstat1.nii,1",LI-frontal-mask,none,0.58,0.19,0.31,0.9,0.57,0.11,0.57,0.34,0.9,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,62.5,5,10000
"BAN18__WG_tstat1.nii,1",LI-frontal-mask,none,0.28,0.19,0.11,0.85,0.21,0.0059,0.3,0.12,0.84,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,35.7143,5,10000
"BAN19__WG_tstat1.nii,1",LI-frontal-mask,none,0.51,0.25,0.19,0.94,0.47,0.14,0.52,0.23,0.94,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"BAN21__WG_tstat1.nii,1",LI-frontal-mask,none,0.28,0.06,0.16,0.45,0.27,0.026,0.26,0.18,0.41,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,55.5556,5,10000
"BAN22__WG_tstat1.nii,1",LI-frontal-mask,none,0.31,0.33,-0.02,0.89,0.22,0.2,0.42,0.004,0.88,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,71.4286,5,10000
"BAN23__WG_tstat1.nii,1",LI-frontal-mask,none,-0.3,0.25,-0.79,-0.034,-0.23,0.11,-0.39,-0.78,-0.08,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,83.3333,5,10000
"BAN24__WG_tstat1.nii,1",LI-frontal-mask,none,0.67,0.24,0.32,0.99,0.67,0.14,0.67,0.41,0.99,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,41.6667,5,10000
"OXF01__WG_tstat1.nii,1",LI-frontal-mask,none,0.56,0.21,0.056,0.79,0.6,0.1,0.45,0.071,0.76,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF02__WG_tstat1.nii,1",LI-frontal-mask,none,-0.32,0.27,-0.88,-0.014,-0.25,0.14,-0.42,-0.88,-0.083,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,100,5,10000
"OXF03__WG_tstat1.nii,1",LI-frontal-mask,none,0.67,0.22,0.31,0.96,0.71,0.13,0.66,0.44,0.96,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF04__WG_tstat1.nii,1",LI-frontal-mask,none,0.43,0.21,0.12,0.78,0.41,0.1,0.46,0.21,0.75,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,55.5556,5,10000
"OXF05__WG_tstat1.nii,1",LI-frontal-mask,none,0.83,0.14,0.54,0.96,0.87,0.072,0.74,0.69,0.96,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,100,5,10000
"OXF06__WG_tstat1.nii,1",LI-frontal-mask,none,0.63,0.15,0.37,0.91,0.64,0.068,0.59,0.47,0.9,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF07__WG_tstat1.nii,1",LI-frontal-mask,none,0.6,0.25,0.22,0.97,0.61,0.14,0.62,0.33,0.97,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"OXF08__WG_tstat1.nii,1",LI-frontal-mask,none,0.092,0.15,-0.0023,0.55,0.042,0.0094,0.12,0.0018,0.54,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,33.3333,5,10000
"OXF09__WG_tstat1.nii,1",LI-frontal-mask,none,0.58,0.24,0.25,0.94,0.57,0.16,0.6,0.32,0.94,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"OXF10__WG_tstat1.nii,1",LI-frontal-mask,none,0.26,0.17,0.05,0.7,0.23,0.071,0.3,0.099,0.67,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"OXF11__WG_tstat1.nii,1",LI-frontal-mask,none,0.71,0.17,0.41,0.95,0.74,0.083,0.66,0.46,0.94,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,25,5,10000
"OXF12__WG_tstat1.nii,1",LI-frontal-mask,none,0.34,0.27,-0.016,0.82,0.3,0.15,0.42,0.031,0.8,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,29.4118,5,10000
"OXF13__WG_tstat1.nii,1",LI-frontal-mask,none,0.5,0.2,0.16,0.73,0.55,0.13,0.51,0.27,0.7,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,41.6667,5,10000
"OXF14__WG_tstat1.nii,1",LI-frontal-mask,none,-0.2,0.28,-0.74,0.096,-0.12,0.15,-0.29,-0.73,0.07,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,83.3333,5,10000
"OXF15__WG_tstat1.nii,1",LI-frontal-mask,none,0.37,0.24,0.083,0.86,0.31,0.11,0.42,0.13,0.85,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,45.4545,5,10000
"OXF16__WG_tstat1.nii,1",LI-frontal-mask,none,0.91,0.08,0.7,0.98,0.93,0.032,0.78,0.84,0.98,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,100,5,10000
"OXF17__WG_tstat1.nii,1",LI-frontal-mask,none,0.28,0.24,-0.039,0.67,0.26,0.15,0.35,0.036,0.65,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,55.5556,5,10000
"OXF18__WG_tstat1.nii,1",LI-frontal-mask,none,0.36,0.19,0.11,0.74,0.34,0.11,0.4,0.16,0.72,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,29.4118,5,10000
"OXF19__WG_tstat1.nii,1",LI-frontal-mask,none,0.76,0.13,0.48,0.89,0.8,0.052,0.68,0.65,0.87,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,83.3333,5,10000
"OXF20__WG_tstat1.nii,1",LI-frontal-mask,none,0.64,0.16,0.33,0.85,0.65,0.086,0.54,0.48,0.82,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF21__WG_tstat1.nii,1",LI-frontal-mask,none,0.51,0.25,0.16,0.94,0.49,0.14,0.58,0.22,0.93,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,26.3158,5,10000
"OXF22__WG_tstat1.nii,1",LI-frontal-mask,none,0.54,0.2,0.22,0.81,0.57,0.13,0.54,0.31,0.79,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,50,5,10000
"OXF23__WG_tstat1.nii,1",LI-frontal-mask,none,0.27,0.14,0.031,0.51,0.28,0.072,0.28,0.12,0.48,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,45.4545,5,10000
"OXF24__WG_tstat1.nii,1",LI-frontal-mask,none,0.52,0.28,0.11,0.91,0.52,0.18,0.57,0.22,0.9,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,29.4118,5,10000
"OXF25__WG_tstat1.nii,1",LI-frontal-mask,none,0.15,0.12,-0.0035,0.54,0.12,0.02,0.18,0.029,0.5,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,31.25,5,10000
"OXF26__WG_tstat1.nii,1",LI-frontal-mask,none,-0.25,0.17,-0.52,-0.045,-0.23,0.12,-0.29,-0.51,-0.11,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,31.25,5,10000
"OXF27__WG_tstat1.nii,1",LI-frontal-mask,none,0.57,0.27,0.18,0.95,0.58,0.17,0.63,0.21,0.95,no,no,/Volumes/Extreme_Pro/LI_analysis/WG,0,100,5,10000
"BAN01_SG_tstat1.nii,1",LI-frontal-mask,none,0.12,0.12,-0.29,0.25,0.15,0.018,0.094,-0.28,0.21,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,27.7778,5,10000
"BAN02_SG_tstat1.nii,1",LI-frontal-mask,none,-0.57,0.22,-0.87,-0.25,-0.59,0.14,-0.58,-0.87,-0.35,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,25,5,10000
"BAN03_SG_tstat1.nii,1",LI-frontal-mask,none,0.52,0.28,0.13,0.89,0.51,0.21,0.57,0.19,0.88,no,no,/Volumes/Extreme_Pro/LI_analysis/SG,0,83.3333,5,10000
