ID,meanvol_L,meanvol_R,meandiff,diff_low_CI,diff_hi_CI,flip_t,sdflipt,flipt_DF,LI,LI_p5,LI_p95,mask,task,bootstraps,percdata,ID
BAN01__,2.731802547,2.063524265,0.668278282,0.577524001,0.768858845,11.29329857,0.922149025,2086,0.139337296,0.120764837,0.158523855,frontal,WG,1000,5,BAN01__
BAN02__,-0.424089003,-0.054951969,-0.369137035,-0.444412889,-0.294767848,-7.892010911,0.945235372,2088,-0.778166462,-1,-0.562968123,frontal,WG,1000,5,BAN02__
BAN03__,1.204039754,0.0022792,1.201760554,1.118585017,1.28434447,23.39898022,0.839800971,2088,0.97390053,0.90371826,1,frontal,WG,1000,5,BAN03__
BAN04__,0.076135075,-0.122239186,0.19837426,0.148595051,0.24946335,6.418785395,0.974836852,2085,0.999476598,1,1,frontal,WG,1000,5,BAN04__
BAN05__,-0.988155304,-1.109948208,0.121792904,0.06647252,0.17492838,3.501813686,0.967561935,2088,0.058086551,0.031696617,0.083175158,frontal,WG,1000,5,BAN05__
BAN06__,-0.023290991,-0.23519334,0.211902349,0.134447726,0.29275367,4.396115476,1.00039847,2082,0.788095739,0.420468992,1,frontal,WG,1000,5,BAN06__
BAN07__,0.979323235,0.568448039,0.410875196,0.354643839,0.46815133,10.98579647,0.976571789,2080,0.265723804,0.227049853,0.303576752,frontal,WG,1000,5,BAN07__
BAN08__,1.516353796,0.994686022,0.521667774,0.453515241,0.600093129,11.42011268,0.963319781,2091,0.207785826,0.180428276,0.236453669,frontal,WG,1000,5,BAN08__
BAN09__,1.823194958,0.380689909,1.442505049,1.360866908,1.52426876,28.91030665,0.963066599,2082,0.655613121,0.602050143,0.711992486,frontal,WG,1000,5,BAN09__
BAN10__,-0.085517132,-0.498142314,0.412625181,0.335693994,0.48198504,9.102505382,0.969740191,2089,0.717107328,0.534162116,0.950104694,frontal,WG,1000,5,BAN10__
BAN11__,0.215811309,-0.372658901,0.58847021,0.51856984,0.655460615,14.29943662,0.920170373,2089,1,1,1,frontal,WG,1000,5,BAN11__
BAN12__,1.056751895,0.404379206,0.652372689,0.594556261,0.710143141,17.71844673,0.952585259,2092,0.44721467,0.399477072,0.493944067,frontal,WG,1000,5,BAN12__
BAN13__,1.306456039,0.441342409,0.86511363,0.790305231,0.947378294,17.68140209,0.906052437,2067,0.495598446,0.448766233,0.546982969,frontal,WG,1000,5,BAN13__
BAN14__,0.855180701,0.6460551,0.209125602,0.167409086,0.25054155,8.073582406,0.949481239,2086,0.13929624,0.111961902,0.166328163,frontal,WG,1000,5,BAN14__
BAN15__,0.969269596,-0.525381803,1.494651399,1.407671682,1.576870389,28.80808463,0.980348877,2092,1,1,1,frontal,WG,1000,5,BAN15__
BAN16__,0.186833713,0.029833549,0.157000164,0.08566148,0.224309028,3.778394103,0.998948735,2090,0.725406658,0.371680855,1,frontal,WG,1000,5,BAN16__
BAN17__,0.891867347,-0.169375912,1.061243259,0.980121123,1.147207793,20.74854077,0.907857935,2088,1,1,1,frontal,WG,1000,5,BAN17__
BAN18__,0.142002572,-1.138205295,1.280207867,1.164849696,1.397189484,17.37695528,0.948406789,2092,0.999570877,1,1,frontal,WG,1000,5,BAN18__
BAN19__,-0.681743404,-0.927382417,0.245639013,0.169210868,0.323442088,5.363680997,1.015055161,2092,0.153173437,0.102224446,0.204588562,frontal,WG,1000,5,BAN19__
BAN21__,-1.950227177,-2.721179576,0.7709524,0.656224322,0.885989924,10.70766947,1.014427533,2090,0.165070822,0.140138575,0.189848977,frontal,WG,1000,5,BAN21__
BAN22__,0.682154693,0.692667652,-0.010512958,-0.05164514,0.032462075,-0.410794078,0.960386739,2092,-0.007686984,-0.037847304,0.023648614,frontal,WG,1000,5,BAN22__
BAN23__,0.576497689,0.731594095,-0.155096406,-0.233041058,-0.076699585,-3.27645619,1.001993227,2084,-0.11892086,-0.178792171,-0.057634797,frontal,WG,1000,5,BAN23__
BAN24__,1.84469986,0.58643302,1.25826684,1.181331908,1.338131006,25.26058233,0.894391342,2092,0.517749729,0.487131519,0.549896438,frontal,WG,1000,5,BAN24__
OXF01__,1.808508677,0.27988917,1.528619506,1.446876753,1.613046465,27.99777557,0.794262902,2088,0.732787733,0.680895763,0.78712353,frontal,WG,1000,5,OXF01__
OXF02__,-0.566788419,-0.539020211,-0.027768208,-0.088386155,0.037414536,-0.712667746,0.9621644,2076,-0.02529761,-0.079802686,0.032725261,frontal,WG,1000,5,OXF02__
OXF03__,1.072867056,0.134486142,0.938380914,0.862496127,1.014540297,19.94409811,0.901862399,2079,0.779856895,0.696273405,0.873821777,frontal,WG,1000,5,OXF03__
OXF04__,0.969417544,0.360135587,0.609281957,0.53889569,0.679058101,13.04390976,0.905551647,2079,0.460079372,0.388526614,0.536947465,frontal,WG,1000,5,OXF04__
OXF05__,0.373704541,-1.604842774,1.978547315,1.878572554,2.078712446,30.97981842,0.918198491,2087,1,1,1,frontal,WG,1000,5,OXF05__
OXF06__,-1.58990033,-2.400334038,0.810433709,0.717843771,0.904505747,14.27269793,0.965167265,2091,0.203240331,0.178948997,0.229368731,frontal,WG,1000,5,OXF06__
OXF07__,2.467303725,1.155925924,1.311377802,1.187109816,1.435642396,16.37252692,0.847783174,2081,0.362030506,0.330633734,0.392533249,frontal,WG,1000,5,OXF07__
OXF08__,3.834110658,3.57171765,0.262393008,0.1829342,0.339439118,5.479288559,1.00627977,2089,0.035439601,0.024517909,0.045791722,frontal,WG,1000,5,OXF08__
OXF09__,1.15151384,0.218259937,0.933253903,0.852603429,1.01370259,18.45385286,0.846356993,2087,0.683661408,0.597431781,0.772385654,frontal,WG,1000,5,OXF09__
OXF10__,3.067024883,2.516258575,0.550766308,0.435371041,0.659643938,7.889388415,0.978266428,2088,0.098661913,0.077149082,0.117946208,frontal,WG,1000,5,OXF10__
OXF11__,1.255271373,-0.347477518,1.602748892,1.495606763,1.71539293,23.4089729,0.821866062,2092,1,1,1,frontal,WG,1000,5,OXF11__
OXF12__,0.955233235,1.162837431,-0.207604195,-0.303429044,-0.116577821,-3.543863512,0.964948355,2078,-0.098714755,-0.148642811,-0.052431295,frontal,WG,1000,5,OXF12__
OXF13__,2.779300161,1.809489495,0.969810666,0.887561291,1.052087818,19.93894239,0.943668814,2079,0.211352115,0.194169906,0.228511135,frontal,WG,1000,5,OXF13__
OXF14__,3.439378921,3.05748025,0.381898672,0.265030068,0.510882694,4.910143266,0.98840099,2076,0.058820703,0.040271287,0.078930283,frontal,WG,1000,5,OXF14__
OXF15__,1.140475608,0.689863243,0.450612365,0.362358643,0.536490454,8.194826476,0.991548796,2086,0.246860568,0.194583477,0.299451095,frontal,WG,1000,5,OXF15__
OXF16__,-0.830003278,-1.680538336,0.850535058,0.789704607,0.91788147,21.60545201,0.869806723,2087,0.339052408,0.308743644,0.370796858,frontal,WG,1000,5,OXF16__
OXF17__,0.922729655,1.149281526,-0.226551871,-0.318392313,-0.137913361,-3.987967541,1.010995049,2090,-0.109838684,-0.157784256,-0.064181277,frontal,WG,1000,5,OXF17__
OXF18__,0.63565163,0.109324633,0.526326997,0.425626113,0.626107156,8.490268919,0.994918586,2089,0.716374843,0.542436745,0.930836063,frontal,WG,1000,5,OXF18__
OXF19__,-0.042955896,-1.124250848,1.081294951,1.008634003,1.156110519,23.2154613,0.935944225,2085,0.921648103,0.817247287,1,frontal,WG,1000,5,OXF19__
OXF20__,3.457693061,1.306523117,2.151169944,2.020988735,2.271484711,27.1476042,0.808456897,2090,0.451562174,0.426035183,0.476337813,frontal,WG,1000,5,OXF20__
OXF21__,1.670846704,0.853557936,0.817288768,0.709633357,0.921307202,12.30570175,0.933294264,2086,0.32405058,0.281310751,0.367456406,frontal,WG,1000,5,OXF21__
OXF22__,0.596176165,-0.532705089,1.128881254,1.009012376,1.245247872,15.38426567,0.910734424,2089,1,1,1,frontal,WG,1000,5,OXF22__
OXF23__,2.711892813,2.446173771,0.265719042,0.17317861,0.361500623,4.358332876,0.938392044,2087,0.051485401,0.033929251,0.069199227,frontal,WG,1000,5,OXF23__
OXF24__,-0.125792184,-0.132402851,0.006610666,-0.08908049,0.100893277,0.107295871,0.969133913,2090,0.065681881,-0.327625827,0.656661171,frontal,WG,1000,5,OXF24__
OXF25__,-0.289086618,-0.187142541,-0.101944077,-0.178033973,-0.02823571,-2.111180328,0.930738521,2087,-0.220639237,-0.40641134,-0.056886479,frontal,WG,1000,5,OXF25__
OXF26__,0.667328474,0.795925964,-0.128597491,-0.287863071,0.041573276,-1.298056482,0.977011655,2080,-0.088244676,-0.196807392,0.028177033,frontal,WG,1000,5,OXF26__
OXF27__,1.037917587,0.346896749,0.691020838,0.615486614,0.775269043,14.0650016,0.947466004,2086,0.50006389,0.435425082,0.571410269,frontal,WG,1000,5,OXF27__
BAN01__,1.247674522,1.020189795,0.227484728,0.137913807,0.318368254,3.911191625,0.959666856,1285,0.100361815,0.061039132,0.140834899,temporal,WG,1000,5,BAN01__
BAN02__,-0.505733044,-0.140518293,-0.365214751,-0.451358633,-0.28231352,-6.846221272,0.959654509,1290,-0.569580189,-0.721990648,-0.431873447,temporal,WG,1000,5,BAN02__
BAN03__,-0.351635531,-0.589345456,0.237709925,0.152956384,0.317899573,4.65548892,0.967440552,1279,0.255391729,0.156093449,0.368653838,temporal,WG,1000,5,BAN03__
BAN04__,-0.22758573,-0.089736748,-0.137848981,-0.200131351,-0.080728391,-3.495765809,0.965861707,1290,-0.44307037,-0.687616812,-0.237549621,temporal,WG,1000,5,BAN04__
BAN05__,-0.278619761,-0.539269755,0.260649994,0.190065245,0.331059388,5.846534973,0.98579153,1279,0.322183401,0.223352858,0.437559856,temporal,WG,1000,5,BAN05__
BAN06__,-0.810012034,-0.541670326,-0.268341708,-0.360308619,-0.170991751,-4.454084135,0.968749928,1262,-0.199703802,-0.275353764,-0.123868632,temporal,WG,1000,5,BAN06__
BAN07__,-0.186689301,-0.276543794,0.089854492,0.026958888,0.150323796,2.255865297,0.962857512,1287,0.196329802,0.058277021,0.336225725,temporal,WG,1000,5,BAN07__
BAN08__,2.905488648,2.325161538,0.58032711,0.483919305,0.674649528,9.738278725,0.979595601,1288,0.110907087,0.093591263,0.126925969,temporal,WG,1000,5,BAN08__
BAN09__,1.439929953,0.726229186,0.713700767,0.626494359,0.806107063,12.4455617,0.998724846,1276,0.329924205,0.286621658,0.378031535,temporal,WG,1000,5,BAN09__
BAN10__,-1.176155263,-1.423556772,0.247401509,0.16439177,0.32595817,4.901973569,1.000565107,1278,0.095260528,0.063437621,0.125865384,temporal,WG,1000,5,BAN10__
BAN11__,-0.182911604,-0.333393049,0.150481445,0.066183358,0.227164184,2.881906673,0.947845347,1274,0.302152499,0.126072796,0.513077333,temporal,WG,1000,5,BAN11__
BAN12__,0.308968626,0.179601345,0.129367281,0.059412787,0.198851825,2.903097665,0.960207206,1281,0.266856953,0.116954117,0.42372788,temporal,WG,1000,5,BAN12__
BAN13__,1.029495492,0.871465839,0.158029653,0.083567533,0.232494628,3.360936854,0.96949046,1269,0.083254375,0.043575374,0.121707795,temporal,WG,1000,5,BAN13__
BAN14__,-0.114767619,-0.197132,0.082364381,0.023412611,0.14842892,2.11505292,0.967630979,1290,0.274879635,0.07057282,0.523697617,temporal,WG,1000,5,BAN14__
BAN15__,1.176477959,-0.753719627,1.930197586,1.805295599,2.048804363,26.32767059,1.130516886,1262,1,1,1,temporal,WG,1000,5,BAN15__
BAN16__,-0.96493518,-0.607475424,-0.357459756,-0.438018654,-0.277314231,-7.150564891,1.032509498,1269,-0.228004213,-0.284974068,-0.173182494,temporal,WG,1000,5,BAN16__
BAN17__,0.278864186,-0.325642572,0.604506758,0.515824839,0.688533338,11.84741802,1.001382325,1279,1,1,1,temporal,WG,1000,5,BAN17__
BAN18__,0.003934949,-0.650654254,0.654589203,0.531723345,0.775637791,9.048255474,1.006388482,1284,0.939181767,0.742624922,1,temporal,WG,1000,5,BAN18__
BAN19__,-1.551850442,-1.047525081,-0.50432536,-0.595339192,-0.413324191,-8.900609042,0.959774823,1283,-0.194367492,-0.233352009,-0.156360105,temporal,WG,1000,5,BAN19__
BAN21__,-0.993650152,-1.721445103,0.727794951,0.60353466,0.85106357,9.087241704,0.952075169,1288,0.268642282,0.217235849,0.320634606,temporal,WG,1000,5,BAN21__
BAN22__,1.27513825,1.474484588,-0.199346337,-0.265819374,-0.132562032,-4.847978007,0.958550031,1270,-0.072440584,-0.095580809,-0.048991587,temporal,WG,1000,5,BAN22__
BAN23__,-0.155935625,-0.354152194,0.19821657,0.115901249,0.280806608,3.783631861,0.980347479,1278,0.3965413,0.230046528,0.609728834,temporal,WG,1000,5,BAN23__
BAN24__,1.046694988,0.569218101,0.477476887,0.394171801,0.554841847,9.446867509,0.97538004,1269,0.296212946,0.242626625,0.353063309,temporal,WG,1000,5,BAN24__
OXF01__,0.621346774,-0.051840766,0.67318754,0.57859612,0.766625403,11.19698285,0.967335544,1283,0.99111269,0.92258498,1,temporal,WG,1000,5,OXF01__
OXF02__,-0.691625309,-0.868610123,0.176984814,0.103669219,0.248643152,3.978175579,1.01394446,1283,0.113781473,0.06506105,0.160449195,temporal,WG,1000,5,OXF02__
OXF03__,0.479816515,-0.27380404,0.753620555,0.66250603,0.841807265,13.83464395,0.842776591,1284,1,1,1,temporal,WG,1000,5,OXF03__
OXF04__,-0.038527091,-0.364295158,0.325768067,0.244545982,0.411826653,6.433118228,1.032752066,1290,0.800693016,0.513050513,1,temporal,WG,1000,5,OXF04__
OXF05__,-0.553979365,-1.841304269,1.287324904,1.174380705,1.400225317,18.69017108,0.987950143,1290,0.53844238,0.476742142,0.603041219,temporal,WG,1000,5,OXF05__
OXF06__,-2.721287531,-2.783018362,0.06173083,-0.046685114,0.166858192,0.959185274,0.987007661,1289,0.011251313,-0.008404571,0.030327463,temporal,WG,1000,5,OXF06__
OXF07__,1.032853473,0.059776706,0.973076768,0.852373737,1.092690055,12.07925527,0.7663936,1289,0.889995875,0.766602513,1,temporal,WG,1000,5,OXF07__
OXF08__,3.03882351,3.047767785,-0.008944275,-0.106292942,0.086931133,-0.150448981,0.98993136,1286,-0.001463895,-0.017595975,0.014309315,temporal,WG,1000,5,OXF08__
OXF09__,1.007327059,0.759210713,0.248116347,0.150168374,0.348633408,3.888434345,0.97795442,1232,0.141460952,0.081620596,0.204255731,temporal,WG,1000,5,OXF09__
OXF10__,2.198368798,2.518736075,-0.320367277,-0.45590109,-0.18002255,-3.799739285,0.996683455,1290,-0.068006252,-0.096419202,-0.038241084,temporal,WG,1000,5,OXF10__
OXF11__,-0.026994276,-1.047810054,1.020815778,0.923973321,1.118870549,17.40048748,0.982783915,1284,0.933119016,0.799385599,1,temporal,WG,1000,5,OXF11__
OXF12__,0.448834698,0.204907121,0.243927577,0.160126741,0.335530581,4.372386629,0.956208156,1274,0.382413492,0.229980854,0.558531832,temporal,WG,1000,5,OXF12__
OXF13__,1.74209079,1.209442592,0.532648198,0.441070369,0.621514631,9.740734483,0.984047318,1289,0.180463356,0.150096484,0.211121099,temporal,WG,1000,5,OXF13__
OXF14__,2.01021745,1.549021527,0.461195923,0.322588062,0.596517327,5.549343886,0.975605276,1288,0.129685189,0.091283283,0.16647066,temporal,WG,1000,5,OXF14__
OXF15__,-0.634298114,-0.433009659,-0.201288455,-0.305748604,-0.092267256,-3.04358261,1.008760865,1284,-0.189989103,-0.298747844,-0.083404151,temporal,WG,1000,5,OXF15__
OXF16__,-1.238058335,-1.761557887,0.523499552,0.444163902,0.599692554,10.86066071,0.915642674,1283,0.174696067,0.145752457,0.202246581,temporal,WG,1000,5,OXF16__
OXF17__,0.538494177,1.041125875,-0.502631698,-0.604407523,-0.408531516,-7.935520515,0.926028238,1282,-0.319914315,-0.405168744,-0.245699961,temporal,WG,1000,5,OXF17__
OXF18__,-0.158870918,-0.141609451,-0.017261468,-0.117277282,0.084320196,-0.270618224,0.964009349,1289,-0.060987432,-0.471889079,0.320507511,temporal,WG,1000,5,OXF18__
OXF19__,-1.320656736,-1.565023682,0.244366945,0.162028288,0.323418283,4.694860738,0.925363276,1289,0.084804372,0.055635109,0.113629005,temporal,WG,1000,5,OXF19__
OXF20__,0.670361344,-0.104407754,0.774769098,0.655557329,0.887440154,10.72238845,0.849408757,1286,0.999292627,1,1,temporal,WG,1000,5,OXF20__
OXF21__,-0.125437751,-0.377367264,0.251929513,0.144892258,0.366219924,3.736629421,0.948224675,1286,0.523114935,0.258107619,0.897914702,temporal,WG,1000,5,OXF21__
OXF22__,-1.87203681,-2.325089391,0.453052581,0.331841793,0.571914154,6.059174544,1.004701871,1289,0.108088519,0.078363256,0.138410214,temporal,WG,1000,5,OXF22__
OXF23__,1.701151467,1.921015554,-0.219864087,-0.329932325,-0.114826607,-3.199206886,0.965248223,1288,-0.06081482,-0.092556629,-0.031363995,temporal,WG,1000,5,OXF23__
OXF24__,-0.868956048,-1.227968999,0.359012951,0.255112736,0.458644818,5.763943117,0.998873235,1288,0.17196647,0.121186254,0.228003372,temporal,WG,1000,5,OXF24__
OXF25__,-1.211169632,-1.420331592,0.20916196,0.106726236,0.306151077,3.374642165,0.972957202,1288,0.079751463,0.039972784,0.118882212,temporal,WG,1000,5,OXF25__
OXF26__,-0.128804506,-0.724865148,0.596060642,0.439359589,0.753163024,5.940111689,0.982976712,1290,0.714918937,0.450984529,1,temporal,WG,1000,5,OXF26__
OXF27__,0.210232069,-0.278095156,0.488327225,0.403139762,0.569768035,9.458665876,0.92491313,1278,1,1,1,temporal,WG,1000,5,OXF27__
BAN01__,0.826368876,1.264659017,-0.438290141,-0.552810093,-0.322312037,-6.287243641,0.978424585,1276,-0.210112195,-0.268558782,-0.153764024,parietal,WG,1000,5,BAN01__
BAN02__,-0.775430227,-0.31040282,-0.465027408,-0.542521726,-0.386643913,-9.28371303,0.939362489,1276,-0.431510076,-0.530920556,-0.339832679,parietal,WG,1000,5,BAN02__
BAN03__,-0.876248083,-1.69320185,0.816953767,0.724212265,0.909277198,13.83303852,0.950907655,1276,0.318744346,0.274948762,0.367127391,parietal,WG,1000,5,BAN03__
BAN04__,-0.33571589,-0.461479498,0.125763608,0.056923168,0.194535877,3.014619022,1.017432583,1276,0.159076507,0.069970221,0.255617961,parietal,WG,1000,5,BAN04__
BAN05__,-2.018569643,-1.556196067,-0.462373575,-0.540667152,-0.379929968,-9.267585762,0.916928986,1276,-0.129413708,-0.151812545,-0.106616032,parietal,WG,1000,5,BAN05__
BAN06__,-1.785090963,-1.715494844,-0.069596118,-0.159621065,0.015509936,-1.248300513,0.962216657,1273,-0.019952702,-0.045899795,0.004455077,parietal,WG,1000,5,BAN06__
BAN07__,0.771695995,0.32286305,0.448832944,0.381838212,0.517387256,10.44240452,0.940727723,1276,0.410881851,0.344370497,0.477896616,parietal,WG,1000,5,BAN07__
BAN08__,2.437320979,1.990614242,0.446706736,0.354828827,0.539530562,7.450834157,0.949519212,1275,0.10085675,0.08013763,0.12117379,parietal,WG,1000,5,BAN08__
BAN09__,1.507887522,0.340027855,1.167859668,1.072054916,1.261637524,19.74336742,1.01926239,1276,0.63412626,0.559288945,0.723433068,parietal,WG,1000,5,BAN09__
BAN10__,-1.663361426,-1.923576169,0.260214743,0.143580178,0.366440266,3.835633082,1.009044737,1275,0.072601312,0.040406003,0.102112313,parietal,WG,1000,5,BAN10__
BAN11__,-0.211008184,-0.728872399,0.517864215,0.429789286,0.612103336,9.271517876,0.940448856,1276,0.558302406,0.429427417,0.730518242,parietal,WG,1000,5,BAN11__
BAN12__,-0.693961638,-0.464296614,-0.229665024,-0.292219393,-0.16686287,-5.920165016,0.992872659,1276,-0.199060508,-0.259951881,-0.141690287,parietal,WG,1000,5,BAN12__
BAN13__,1.037526943,0.560583075,0.476943868,0.387380864,0.564807939,8.425421582,0.913619961,1276,0.299243646,0.238855891,0.361528029,parietal,WG,1000,5,BAN13__
BAN14__,-0.052931976,-0.542264742,0.489332766,0.435634932,0.547509519,13.90680253,0.872567633,1276,0.825694879,0.674180137,1,parietal,WG,1000,5,BAN14__
BAN15__,0.525310826,-0.355981544,0.88129237,0.792108922,0.979378219,14.53155536,0.94864818,1275,1,1,1,parietal,WG,1000,5,BAN15__
BAN16__,-1.233411797,-1.75286602,0.519454223,0.422792675,0.619337557,8.526369874,0.847755605,1276,0.174064097,0.141779156,0.206067049,parietal,WG,1000,5,BAN16__
BAN17__,-0.796738899,-1.592851725,0.796112826,0.684022967,0.912592016,11.61750236,0.972873217,1276,0.333903003,0.279973681,0.392470021,parietal,WG,1000,5,BAN17__
BAN18__,-1.904904787,-2.209599498,0.304694711,0.211145224,0.393230728,5.496203193,1.003812891,1276,0.074135733,0.050860218,0.095858798,parietal,WG,1000,5,BAN18__
BAN19__,-2.34268113,-2.186657922,-0.156023208,-0.25269,-0.063182286,-2.599125742,0.984237172,1276,-0.034505734,-0.056504649,-0.013896662,parietal,WG,1000,5,BAN19__
BAN21__,-2.331426029,-2.91245371,0.581027681,0.444597647,0.715809296,6.711690264,0.922878055,1276,0.110911137,0.083948341,0.138436747,parietal,WG,1000,5,BAN21__
BAN22__,0.967060927,0.759125522,0.207935404,0.151132852,0.266476447,5.676654061,0.977285271,1275,0.120544122,0.086680627,0.155622143,parietal,WG,1000,5,BAN22__
BAN23__,-0.697063431,-0.960074331,0.2630109,0.170989291,0.358918223,4.459371219,0.950566803,1276,0.159446937,0.101408713,0.221774955,parietal,WG,1000,5,BAN23__
BAN24__,0.94368719,0.011554725,0.932132466,0.832641048,1.034063458,14.45864263,0.879869719,1276,0.951087406,0.84270502,1,parietal,WG,1000,5,BAN24__
OXF01__,0.596188947,-0.571970332,1.168159279,1.07219749,1.262953262,19.01124877,0.944745194,1276,1,1,1,parietal,WG,1000,5,OXF01__
OXF02__,-1.247542027,-0.608796355,-0.638745672,-0.728707051,-0.550981979,-11.4591284,0.948662103,1274,-0.3446478,-0.396113987,-0.292252775,parietal,WG,1000,5,OXF02__
OXF03__,-0.242059262,-0.910595889,0.668536627,0.576359404,0.762458922,12.09966684,0.965588467,1276,0.584290685,0.479553175,0.70788781,parietal,WG,1000,5,OXF03__
OXF04__,-0.521947665,-0.841170673,0.319223009,0.233209122,0.407297543,5.834283617,0.994086308,1276,0.235593493,0.166090813,0.307396402,parietal,WG,1000,5,OXF04__
OXF05__,-1.428488211,-2.982912599,1.554424388,1.44246222,1.666595083,22.18190482,0.973215448,1276,0.352663533,0.321480648,0.383774508,parietal,WG,1000,5,OXF05__
OXF06__,-3.306268153,-3.854904299,0.548636146,0.430648295,0.66640217,7.551052962,0.987637166,1276,0.076646699,0.059867882,0.093321251,parietal,WG,1000,5,OXF06__
OXF07__,0.341643877,-0.277082883,0.61872676,0.474521185,0.76898862,6.975760958,0.943512974,1276,0.999716649,1,1,parietal,WG,1000,5,OXF07__
OXF08__,4.24093573,4.239957137,0.000978592,-0.101378798,0.096586337,0.019427179,0.990644015,1276,0.000122909,-0.011881868,0.011480379,parietal,WG,1000,5,OXF08__
OXF09__,1.148577711,0.547869593,0.600708118,0.473745448,0.73367973,7.729458303,0.930663829,1276,0.356237242,0.27196218,0.44812943,parietal,WG,1000,5,OXF09__
